"Descripcion","Id","Tipo","MinValor","MaxValor","Visible"
"Nombre Proyecto","M0","string",,,"true"
"Lenguaje","M1","string",,,"true"
"Información tecnologica","M2","string",,,"false"
"Ficheros sin procesar","M3","string",,,"false"
"Lineas de Codigo","J0","number",,,"true"
"N de Sentencias","J1","number",,,"true"
"Porcentaje de Sentencia Condicionales","J2","number",,,"true"
"N de Llamadas a Metodos","J3","number",,,"true"
"Porcentaje de Lineas de Comentarios","J4","number",8,22,"true"
"N de Clases e Interfaces","J5","number",,,"true"
"N de Metodos por Clase","J6","number",4,16,"true"
"Media de Sentencias por Metodo","J7","number",6,12,"true"
"N de Línea del Metodo mas complejo","J8","number",,,"false"
"Nombre del Metodo mas Complejo","J9","string",,,"false"
"Complejidad Maxima","J10","number",2,8,"true"
"N de Linea del Bloque mas Profundo","J11","number",,,"false"
"Maxima Profundidad de Bloques","J12","number",3,7,"true"
"Media de Profundidad de Bloques","J13","number",1,"2,2","true"
"Media de Complejidad","J14","number",2,4,"true"
"Bloques con profundidad 0","D0","number",,,"false"
"Bloques con profundidad 1","D1","number",,,"false"
"Bloques con profundidad 2","D2","number",,,"false"
"Bloques con profundidad 3","D3","number",,,"false"
"Bloques con profundidad 4","D4","number",,,"false"
"Bloques con profundidad 5","D5","number",,,"false"
"Bloques con profundidad 6","D6","number",,,"false"
"Bloques con profundidad 7","D7","number",,,"false"
"Bloques con profundidad 8","D8","number",,,"false"
"Bloques con profundidad 9","D9","number",,,"false"
